HEADER		
'time'		'total volume'
UNITS		
's'	'm^3'	
3.515625	0.000000174394878270684	
7.03125	0.000000337840445717124	
14.0625	0.000000565751985970650	
28.125	0.000001005589405569140	
56.25	0.000002404632680584840	
112.5	0.000003745598349196440	
225	0.000004747917499748620	
450	0.000005479671778730800	
900	0.000006063868593999430	
1800	0.000006555751503211080	
3600	0.000006980415378615460	
7200	0.000007349623273943100	
10800	0.000007562940849840520	
14400	0.000007705338888835820	
18000	0.000007808607716682410	
21600	0.000007887372877546660	
25200	0.000007950324597878850	
28800	0.000008002122674926870	
32400	0.000008045654671061400	
36000	0.000008082888570216260	
39600	0.000008115261796367860	
43200	0.000008143802122710910	
